읍면동명,요일,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
가락동,금요일,0.3833333333333333,0.9402985074626866,,,,,,,,0.5902194386889337,0.31101715160919313,0.493292232923306,0.38011695906432746,0.2815126050420168,0.4494485294117647,0.3543771043771044,0.4227797599033636,0.23525672269807157,0.21320257843984983,0.5155997214318352,0.44937250571925497,0.4731677155852155,,0.6519114688128773
가락동,목요일,0.5083333333333333,0.5357142857142857,,,,0.3071428571428571,,0.75,0.35,0.4254807692307692,0.4673609027667262,0.43795620437956206,0.5131832011776786,0.6115387086411821,0.2746521476104053,0.34825451796385626,0.3579388560157792,0.5821428571428572,0.24324324324324326,0.35258046651708036,0.48950899229232087,0.6666666666666666,0.41000000000000003,0.5418060200668897
가락동,수요일,,,,,,,0.7058823529411764,0.5931558935361216,0.430762705351194,0.5852272727272727,0.4153737590309241,0.4353354978354978,0.3851628235242222,0.5134792626728111,0.48520125346842113,0.77787558685446,0.4939496531033832,0.48179292396426815,0.23094285907677642,,0.6320224719101123,0.37209191238287403,0.7138242894056848,
가락동,월요일,,0.5906040268456376,0.7145123774713407,,,,0.2369980250164582,,0.35714285714285715,0.5016857665235408,0.3662234042553192,0.4309756524680458,0.5131280986742375,0.5565298629509698,0.4825256346027859,0.5155938871830299,0.653397663778764,0.48395513209938545,0.6369579317314509,0.2438475707653821,0.311864406779661,0.7641830802362373,0.7583902879072825,0.6513872135102533
가락동,일요일,,,,,,,,,,0.3903038001481952,0.5224775177048978,0.5262204992757945,,0.7442774353487931,0.40643130251619847,0.7333333333333334,0.375,0.49791937401498604,0.7243589743589745,0.353546037042583,0.44459477839165296,0.452696420269642,,0.49504950495049505
가락동,토요일,0.5434782608695653,0.8333333333333333,,,1.0,,0.36406067677946324,0.5904051172707889,0.22072431397574982,0.43054830287206264,0.32116488925348646,0.6461538461538461,0.4249934876262022,0.2798507462686567,0.6936416184971098,0.17411548815057587,0.5093167701863354,,0.5058966850942217,0.5804319210201563,0.5721096543504172,0.6886506227377908,0.41333101287852425,0.625
가락동,화요일,,,,,,,,,,0.46153846153846156,0.43949081580783017,0.6287239324726911,0.6091281233954559,0.6561476351236837,0.2719106057668682,0.31618161816181617,0.4317116432281769,0.39403715198163236,0.3873626373626373,0.25903939557474365,,0.5910063177204187,0.5606060606060606,0.41407610461889144
가리봉동,금요일,,,,,,,,,,0.40268456375838924,,0.4746835443037975,,,0.45870623331763233,0.27004909983633385,0.38461538461538464,0.2808842652795839,,,0.4375,0.5988023952095809,,
가리봉동,목요일,,,,,,,,,,,0.6766917293233082,0.5,,0.40789473684210525,,0.23333333333333334,0.7142857142857143,0.2,,1.067551737602499,0.35294117647058826,,,2.085561497326203
가리봉동,수요일,,,,,,,,,,0.5384615384615384,0.1875,,0.9666666666666667,0.32142857142857145,0.7256881538945924,0.409028794533919,,0.24340770791075053,0.25,,,,,
가리봉동,월요일,,,,,,,,,,0.2506265664160401,0.5947450456468493,,0.30434782608695654,0.14285714285714285,0.5,,0.36520146520146524,,,,,,,
가리봉동,일요일,,,,,,,,,,0.2,,0.45999999999999996,,,,,0.3282275711159738,,0.5,0.8400000000000001,,0.47777777777777775,,
가리봉동,토요일,,0.8791208791208791,,,,,,,,,0.4375,,,,,0.2613688113980873,0.2886321626617375,0.35545023696682465,0.48000000000000004,0.4367571693381311,0.17828200972447325,0.3882099209202013,,
가리봉동,화요일,,,,,,,,,,0.28735632183908044,0.19999999999999998,0.3887807101832434,,0.4361111111111111,0.5555555555555556,,,0.21587910769968818,0.5065234075211051,0.8571428571428571,0.9083329122239628,,0.9,
가산동,금요일,,,,0.42857142857142855,0.46153846153846156,,,,,0.40958083832335335,0.4944805194805194,0.646616880031421,0.43439044794280934,0.2862944162436548,,,0.5565044125903594,0.2815884476534296,,0.3288059129581485,,0.6377153511408925,0.46395225464190987,0.6428571428571429
가산동,목요일,,,0.528169014084507,,,,,,0.34523809523809523,,,0.335,0.6675406871609404,0.40625,0.37034036300091344,0.3582089552238806,0.5463286713286714,0.4575110861524551,0.9356891311042971,0.509515570934256,0.11901197604790419,0.3451581975071908,0.2998533724340176,0.3409090909090909
가산동,수요일,,0.8333333333333334,,,,,0.47000000000000003,,0.3994673768308921,,0.6241694352159468,,,0.12,0.49282241510076885,,0.5454545454545454,0.33163551401869157,0.22194485111618592,0.5277777777777778,0.7999999999999999,,0.7999999999999999,0.8666666666666667
가산동,월요일,,,0.6111111111111112,,,,,,0.4495077538362345,0.3613056154060968,0.6195386519245969,0.584075723830735,0.5454545454545454,0.412987012987013,0.5072164948453608,0.3359548374537668,,0.5359271241273625,0.96,,,,0.3799705449189985,
가산동,일요일,0.38333333333333336,0.4702194357366771,0.5785343497022619,,,,,,0.47727088566566733,0.8571428571428571,,0.7142857142857143,0.625,,0.3333333333333333,0.4341534008683068,0.29411764705882354,0.43353314966313306,,0.4285074657241515,0.5555555555555556,0.62,0.4825027685492802,
가산동,토요일,1.0613776467435003,,1.0,,0.2697841726618705,,,,1.0004032258064515,0.5338994338994338,0.513189448441247,0.33665158371040727,0.9024751055958468,,0.3853107344632768,0.36950431034482756,0.4719101123595505,0.3841566005176877,0.5465304957599478,0.4328850562912774,0.6696428571428572,0.446096654275093,0.33245196724993364,0.45454545454545453
