읍면동명,영유아 및 어린이,10대,20대,30대,40대,50대,60대,70대,80대 이상
가락동,2.973844500179147,3.1171623074166965,9.566463633106412,11.572912934432104,13.436044428520244,17.341454675743464,19.419562880687927,12.504478681476172,10.068075958437836
가리봉동,0.8968609865470852,0.8968609865470852,6.87593423019432,10.014947683109119,12.705530642750373,21.973094170403588,21.524663677130047,14.050822122571002,11.061285500747383
가산동,0.6501950585175552,3.7061118335500653,22.886866059817944,14.824447334200261,15.474642392717817,17.555266579973992,12.613784135240572,7.737321196358908,4.551365409622886
가양동,2.5499362515937105,2.507437314067148,5.227369315767106,9.222269443263919,8.159796005099873,12.792180195495112,21.75945601359966,22.14194645133872,15.639609009774755
가회동,0.0,4.878048780487805,12.195121951219512,14.634146341463413,12.195121951219512,9.75609756097561,14.634146341463413,9.75609756097561,21.951219512195124
갈월동,0.0,4.9504950495049505,13.861386138613863,11.881188118811881,9.405940594059405,23.762376237623762,17.326732673267326,9.405940594059405,9.405940594059405
갈현동,2.407318247472316,5.440539239287434,10.158883004333173,6.307173808377467,9.91815117958594,15.310544053923927,16.032739528165624,18.536350505536834,15.888300433317285
강일동,6.157635467980295,5.254515599343185,6.075533661740558,8.210180623973727,8.12807881773399,11.904761904761903,17.651888341543515,18.0623973727422,18.555008210180624
개봉동,2.863234846177277,2.345415778251599,6.000609198903442,7.493146512336278,8.13280536095035,14.925373134328357,18.245507158087115,19.433445019798963,20.560462991166617
개포동,2.874186550976139,4.5010845986984815,7.321041214750543,7.863340563991324,11.225596529284164,17.190889370932755,18.76355748373102,19.305856832971802,10.954446854663773
개화동,1.6597510373443984,1.2448132780082988,11.20331950207469,13.278008298755188,11.20331950207469,24.066390041493776,17.012448132780083,10.78838174273859,9.54356846473029
거여동,5.047318611987381,3.7854889589905363,7.965299684542587,10.094637223974763,11.041009463722396,13.722397476340694,16.561514195583594,16.7192429022082,15.063091482649844
견지동,0.0,0.0,13.157894736842104,26.31578947368421,10.526315789473683,21.052631578947366,10.526315789473683,10.526315789473683,7.894736842105263
경운동,0.0,4.123711340206185,17.525773195876287,19.587628865979383,9.278350515463918,16.49484536082474,19.587628865979383,9.278350515463918,4.123711340206185
계동,0.0,2.941176470588235,5.88235294117647,10.294117647058822,8.823529411764707,7.352941176470589,13.23529411764706,20.588235294117645,30.88235294117647
고덕동,6.916666666666667,6.833333333333333,5.833333333333333,9.333333333333334,12.583333333333332,15.166666666666668,16.916666666666664,14.083333333333334,12.333333333333334
고척동,2.1515434985968196,4.1627689429373245,7.811038353601497,8.372310570626754,10.757717492984098,13.938260056127222,17.212347988774557,17.16557530402245,18.42843779232928
공덕동,3.441084462982273,3.5453597497393115,11.470281543274243,10.427528675703858,11.991657977059438,12.825860271115747,13.660062565172055,17.205422314911367,15.43274244004171
공릉동,2.836105808562858,5.099536405781293,10.935369511862557,8.0992637032997,10.171802563403327,18.3528770111808,15.8712844286883,15.734933187892008,12.898827379329154
공평동,0.0,0.0,27.659574468085108,17.02127659574468,21.27659574468085,14.893617021276595,6.382978723404255,6.382978723404255,6.382978723404255
공항동,2.986857825567503,4.1816009557945035,8.960573476702509,8.124253285543608,11.589008363201913,19.11589008363202,18.63799283154122,15.651135005973716,10.75268817204301
과해동,1.6129032258064515,4.838709677419355,29.03225806451613,14.516129032258066,8.064516129032258,24.193548387096776,12.903225806451612,3.225806451612903,1.6129032258064515
관수동,6.0200668896321075,4.3478260869565215,11.036789297658862,16.722408026755854,22.40802675585284,25.418060200668897,8.695652173913043,3.678929765886288,1.6722408026755853
관철동,1.2345679012345678,7.4074074074074066,30.246913580246915,21.604938271604937,14.814814814814813,8.641975308641975,8.641975308641975,5.555555555555555,1.8518518518518516
관훈동,3.6585365853658534,1.2195121951219512,12.195121951219512,8.536585365853659,9.75609756097561,18.29268292682927,20.73170731707317,17.073170731707318,8.536585365853659
광장동,4.694835680751173,7.981220657276995,11.384976525821596,10.56338028169014,11.502347417840376,13.380281690140844,12.206572769953052,10.328638497652582,17.95774647887324
광희동1가,0.0,4.761904761904762,16.19047619047619,16.19047619047619,19.047619047619047,21.904761904761905,12.380952380952381,4.761904761904762,4.761904761904762
광희동2가,1.1627906976744187,10.465116279069768,18.6046511627907,13.953488372093023,11.627906976744185,11.627906976744185,13.953488372093023,12.790697674418606,5.813953488372093
교남동,0.0,0.0,0.0,21.73913043478261,13.043478260869565,26.08695652173913,21.73913043478261,8.695652173913043,8.695652173913043
교북동,0.0,2.380952380952381,16.666666666666664,9.523809523809524,7.142857142857142,16.666666666666664,16.666666666666664,14.285714285714285,16.666666666666664
구기동,0.40816326530612246,2.4489795918367347,8.571428571428571,4.8979591836734695,12.244897959183673,18.367346938775512,20.816326530612244,13.061224489795919,19.183673469387756
구로동,2.17873713939883,3.4093201533185393,11.962880774662093,10.167439983861208,10.91385918902562,15.775670768610045,17.066774258624168,16.48174298971152,12.043574742787976
구산동,2.5915996425379806,5.540661304736371,6.344950848972298,6.613047363717604,9.025915996425379,15.549597855227882,17.426273458445042,19.124218051831992,17.78373547810545
구수동,0.0,4.081632653061225,14.285714285714285,12.244897959183673,6.122448979591836,14.285714285714285,34.69387755102041,8.16326530612245,6.122448979591836
구의동,2.6625172890733055,5.4287690179806365,13.55463347164592,10.684647302904564,10.096818810511756,14.626556016597512,15.421853388658368,13.831258644536653,13.692946058091287
군자동,3.3112582781456954,5.077262693156733,16.55629139072848,8.609271523178808,9.050772626931568,14.23841059602649,14.56953642384106,14.348785871964681,14.23841059602649
