요일,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,요일 합계
금,571.3561844863732,391.49685534591197,290.58329839273233,260.4185883997205,373.8388539482879,834.0509433962264,1463.844933612858,1897.4503144654088,1954.5234102026554,1859.7747030048918,1817.2535290006988,1805.358141160028,1781.798532494759,1822.638853948288,1843.3286512928023,1872.2008385744234,1916.1529000698813,1918.364709993012,1859.0480782669463,1725.1524807826695,1597.3187980433263,1548.837106918239,1366.1320055904962,958.3958071278826,33729.31851851852
목,548.8376068376068,374.18739316239316,278.3025641025641,252.58831908831908,372.09216524216527,857.8915242165242,1511.1094017094017,1931.5374643874643,1978.708262108262,1879.6061965811966,1816.0967948717948,1785.7742877492879,1738.6242877492878,1787.844658119658,1810.6071937321938,1841.0834757834757,1906.451923076923,1936.0296296296297,1887.6542735042735,1698.9042022792023,1528.9886752136752,1476.6131766381766,1283.0261396011397,854.8779914529914,33337.4376068376
수,534.9117913832199,365.0320483749055,272.31390778533637,248.8588813303099,369.1541950113379,850.3528344671201,1511.0709750566893,1940.6691609977324,1987.4353741496598,1883.0528344671202,1819.7402116402116,1784.5916099773242,1738.317157974301,1788.1030990173847,1808.6585034013606,1843.1345427059712,1912.817082388511,1950.1379440665155,1901.8768707482993,1693.3971277399849,1500.8143613000757,1443.514134542706,1245.5449735449736,825.1822373393802,33218.681859410426
월,423.80663580246915,277.1257716049383,211.42083333333332,210.22145061728395,367.25640432098766,925.2003086419753,1575.2655864197532,1928.3346450617285,1946.5059413580248,1841.9590277777777,1771.7755401234567,1741.9837962962963,1688.8846450617284,1747.1114969135801,1771.2922839506173,1809.7720679012345,1875.6003086419753,1917.7324074074074,1876.902160493827,1664.3842592592594,1464.749614197531,1391.179012345679,1163.5641203703703,758.9414351851852,32350.96975308642
일,524.2994623655914,352.67718040621264,254.17801672640383,203.50483870967741,237.78381123058543,424.6358422939068,634.0574671445639,769.4531660692951,1030.5458183990443,1331.2218040621267,1543.9539426523297,1613.8645161290322,1691.218817204301,1727.8389486260453,1732.344265232975,1731.9737753882914,1725.9629032258065,1666.9732974910394,1519.1734767025089,1367.856212664277,1335.294384707288,1278.5899641577062,1055.0537037037036,684.0357228195938,26436.4913381123
토,655.762962962963,455.21155555555555,344.1537777777778,292.9654814814815,371.7525185185185,718.1382222222222,1035.6638518518519,1183.6364444444444,1476.0288888888888,1691.127037037037,1766.126,1820.4230370370371,1832.5125185185186,1833.1602962962963,1831.2763703703704,1836.6405925925926,1847.6173333333334,1819.6622962962963,1682.3485185185186,1446.87,1359.4414074074075,1361.7542962962964,1178.8542962962963,788.4865925925926,30629.614296296302
화,506.11190994916484,345.2348583877996,259.1469862018882,240.80559186637618,362.6885984023239,855.1519244734931,1529.2345679012346,1955.4164124909223,1997.1268700072621,1887.633551198257,1818.9118373275237,1780.7800290486564,1733.6029048656499,1787.3619462599854,1802.7643427741466,1829.2858387799565,1886.5310820624545,1923.1035584604213,1883.9846768336965,1693.4055918663762,1508.667320261438,1449.4519244734931,1244.6437908496732,811.6621641249092,33092.7082788671
