,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
월요일,0.75,0.82,0.56,0.84,0.74,0.34,0.67,0.7,0.46,0.42,0.47,0.5,0.49,0.48,0.43,0.47,0.47,0.4,0.41,0.51,0.53,0.57,0.62,0.51
화요일,0.68,0.72,0.67,0.79,0.9,0.64,0.75,0.45,0.42,0.46,0.5,0.47,0.55,0.44,0.44,0.49,0.46,0.38,0.37,0.47,0.49,0.55,0.5,0.65
수요일,0.64,0.75,0.69,0.78,0.46,0.69,0.66,0.53,0.5,0.46,0.46,0.47,0.48,0.42,0.44,0.41,0.45,0.4,0.48,0.53,0.47,0.49,0.49,0.57
목요일,0.65,0.62,0.79,0.64,0.85,0.69,0.62,0.55,0.52,0.48,0.43,0.49,0.52,0.48,0.48,0.43,0.5,0.37,0.4,0.42,0.47,0.52,0.53,0.51
금요일,0.83,0.79,0.89,0.53,0.6,0.82,0.61,0.65,0.46,0.43,0.48,0.47,0.42,0.47,0.44,0.42,0.43,0.37,0.45,0.43,0.48,0.5,0.52,0.52
토요일,0.66,0.71,0.5,0.65,0.64,0.45,0.53,0.71,0.65,0.47,0.48,0.49,0.46,0.45,0.43,0.48,0.46,0.44,0.45,0.49,0.52,0.48,0.57,0.67
일요일,0.59,0.59,0.6,0.64,0.86,0.87,0.66,0.75,0.57,0.5,0.5,0.6,0.5,0.49,0.42,0.53,0.49,0.52,0.45,0.51,0.56,0.51,0.59,0.65
