읍면동명,남,미상,여
용산동2가,209.0,196.0,243.0
용산동3가,17.0,15.0,10.0
용산동4가,14.0,13.0,6.0
용산동5가,63.0,61.0,53.0
용산동6가,25.0,39.0,18.0
우면동,420.0,288.0,464.0
우이동,399.0,197.0,272.0
운니동,55.0,17.0,34.0
원남동,50.0,28.0,34.0
원서동,21.0,12.0,28.0
원지동,160.0,116.0,116.0
원효로1가,159.0,139.0,100.0
원효로2가,52.0,59.0,36.0
원효로3가,35.0,48.0,36.0
원효로4가,45.0,52.0,51.0
월계동,1914.0,784.0,1582.0
율현동,158.0,80.0,147.0
을지로1가,38.0,55.0,45.0
을지로2가,96.0,74.0,63.0
을지로3가,135.0,78.0,73.0
을지로4가,90.0,44.0,33.0
을지로5가,119.0,37.0,25.0
을지로6가,143.0,84.0,91.0
을지로7가,63.0,51.0,69.0
응봉동,223.0,116.0,212.0
응암동,1671.0,1026.0,1697.0
의주로1가,23.0,18.0,24.0
의주로2가,11.0,6.0,6.0
이문동,724.0,300.0,745.0
이촌동,541.0,684.0,573.0
이태원동,501.0,498.0,497.0
이화동,36.0,18.0,34.0
익선동,48.0,24.0,31.0
인사동,26.0,23.0,20.0
인의동,151.0,26.0,59.0
인현동1가,37.0,18.0,14.0
인현동2가,57.0,20.0,17.0
일원동,597.0,511.0,570.0
입정동,14.0,5.0,5.0
자곡동,337.0,263.0,352.0
자양동,1810.0,1418.0,1617.0
잠실동,1622.0,1335.0,1635.0
잠원동,742.0,548.0,677.0
장교동,24.0,12.0,8.0
장사동,36.0,17.0,10.0
장안동,1924.0,821.0,1469.0
장위동,1118.0,449.0,1023.0
장지동,642.0,579.0,623.0
장충동1가,44.0,28.0,44.0
장충동2가,173.0,105.0,135.0
재동,20.0,18.0,22.0
저동1가,21.0,7.0,15.0
저동2가,96.0,42.0,58.0
적선동,31.0,23.0,37.0
전농동,1598.0,579.0,1072.0
정동,54.0,45.0,53.0
정릉동,1564.0,837.0,1523.0
제기동,1076.0,559.0,780.0
종로1가,42.0,25.0,20.0
종로2가,273.0,65.0,53.0
종로3가,257.0,88.0,76.0
종로4가,67.0,36.0,33.0
종로5가,197.0,122.0,62.0
종로6가,159.0,95.0,98.0
종암동,930.0,411.0,807.0
주교동,69.0,30.0,18.0
주성동,13.0,13.0,12.0
중계동,1817.0,855.0,1991.0
중곡동,1722.0,872.0,1527.0
중동,141.0,68.0,151.0
중림동,249.0,146.0,254.0
중학동,12.0,8.0,7.0
중화동,1210.0,423.0,1004.0
증산동,284.0,245.0,278.0
진관동,1447.0,585.0,1435.0
창동,2354.0,953.0,2217.0
창성동,7.0,5.0,12.0
창신동,828.0,334.0,523.0
창전동,220.0,141.0,222.0
창천동,391.0,339.0,414.0
천연동,82.0,37.0,73.0
천왕동,224.0,191.0,225.0
천호동,2450.0,1222.0,1942.0
청담동,680.0,645.0,647.0
청량리동,991.0,320.0,544.0
청암동,22.0,14.0,17.0
청운동,40.0,47.0,52.0
청진동,67.0,27.0,48.0
청파동1가,129.0,100.0,137.0
청파동2가,62.0,52.0,77.0
청파동3가,47.0,52.0,85.0
체부동,36.0,18.0,32.0
초동,47.0,26.0,17.0
충무로1가,43.0,29.0,48.0
충무로2가,38.0,25.0,36.0
충무로3가,129.0,23.0,21.0
충무로4가,55.0,65.0,36.0
충무로5가,36.0,18.0,14.0
충신동,92.0,33.0,67.0
충정로1가,20.0,10.0,8.0
충정로2가,123.0,86.0,50.0
충정로3가,150.0,131.0,157.0
태평로1가,57.0,31.0,44.0
태평로2가,74.0,62.0,47.0
토정동,15.0,30.0,22.0
통의동,17.0,8.0,14.0
통인동,25.0,32.0,27.0
팔판동,18.0,12.0,3.0
평동,350.0,85.0,223.0
평창동,243.0,176.0,228.0
풍납동,693.0,441.0,619.0
필동1가,27.0,21.0,27.0
필동2가,105.0,42.0,77.0
필동3가,34.0,20.0,33.0
필운동,21.0,23.0,27.0
하계동,1094.0,439.0,1103.0
하왕십리동,444.0,223.0,497.0
하월곡동,954.0,455.0,819.0
하중동,22.0,35.0,27.0
한강로1가,139.0,126.0,95.0
한강로2가,279.0,224.0,207.0
한강로3가,329.0,364.0,288.0
한남동,598.0,558.0,598.0
합동,39.0,25.0,16.0
합정동,471.0,450.0,465.0
항동,172.0,132.0,198.0
행당동,967.0,488.0,893.0
행촌동,107.0,45.0,101.0
현석동,62.0,23.0,67.0
현저동,148.0,72.0,111.0
혜화동,85.0,54.0,78.0
홍은동,979.0,639.0,978.0
홍익동,150.0,58.0,143.0
홍제동,1091.0,707.0,1043.0
홍지동,42.0,44.0,62.0
홍파동,13.0,8.0,27.0
화곡동,4437.0,2138.0,4369.0
화동,5.0,6.0,11.0
