읍면동명,가을,겨울,봄,여름
인현동2가,16.0,20.0,18.0,17.0
일원동,296.0,262.0,246.0,331.0
입정동,8.0,2.0,6.0,3.0
자곡동,176.0,165.0,161.0,169.0
자양동,932.0,718.0,772.0,926.0
잠실동,950.0,717.0,730.0,802.0
잠원동,333.0,272.0,300.0,427.0
장교동,8.0,3.0,7.0,11.0
장사동,9.0,9.0,9.0,14.0
장안동,967.0,724.0,728.0,913.0
장위동,612.0,520.0,432.0,566.0
장지동,346.0,298.0,257.0,339.0
장충동1가,18.0,20.0,17.0,31.0
장충동2가,71.0,77.0,69.0,85.0
재동,8.0,10.0,13.0,9.0
저동1가,7.0,9.0,5.0,12.0
저동2가,48.0,25.0,28.0,49.0
적선동,15.0,14.0,18.0,19.0
전농동,698.0,616.0,581.0,698.0
정동,26.0,25.0,19.0,30.0
정릉동,787.0,740.0,719.0,810.0
제기동,502.0,444.0,367.0,517.0
종로1가,13.0,14.0,16.0,15.0
종로2가,66.0,56.0,77.0,69.0
종로3가,94.0,61.0,56.0,89.0
종로4가,27.0,21.0,19.0,26.0
종로5가,56.0,69.0,54.0,56.0
종로6가,56.0,62.0,47.0,78.0
종암동,490.0,384.0,419.0,435.0
주교동,25.0,13.0,25.0,21.0
주성동,6.0,6.0,6.0,5.0
주자동,,1.0,1.0,1.0
중계동,987.0,837.0,912.0,1038.0
중곡동,858.0,742.0,725.0,879.0
중동,83.0,67.0,70.0,68.0
중림동,109.0,108.0,136.0,132.0
중학동,2.0,5.0,8.0,4.0
중화동,577.0,517.0,519.0,578.0
증산동,150.0,152.0,101.0,151.0
진관동,784.0,505.0,609.0,942.0
창동,1218.0,1016.0,1015.0,1209.0
창성동,4.0,5.0,3.0,5.0
창신동,431.0,283.0,284.0,332.0
창전동,117.0,85.0,103.0,121.0
창천동,226.0,129.0,186.0,227.0
천연동,38.0,42.0,30.0,42.0
천왕동,111.0,93.0,102.0,122.0
천호동,1132.0,974.0,1050.0,1145.0
청담동,352.0,277.0,293.0,367.0
청량리동,401.0,349.0,327.0,424.0
청암동,7.0,11.0,10.0,12.0
청운동,25.0,21.0,27.0,17.0
청진동,31.0,29.0,18.0,31.0
청파동1가,70.0,69.0,58.0,62.0
청파동2가,42.0,23.0,39.0,36.0
청파동3가,34.0,32.0,41.0,24.0
체부동,23.0,9.0,21.0,10.0
초동,20.0,15.0,13.0,14.0
충무로1가,22.0,17.0,16.0,32.0
충무로2가,27.0,18.0,14.0,13.0
충무로3가,48.0,8.0,29.0,64.0
충무로4가,27.0,15.0,28.0,19.0
충무로5가,12.0,12.0,11.0,14.0
충신동,49.0,40.0,25.0,43.0
충정로1가,13.0,5.0,5.0,5.0
충정로2가,41.0,34.0,45.0,46.0
충정로3가,75.0,63.0,86.0,75.0
태평로1가,31.0,22.0,25.0,19.0
태평로2가,30.0,29.0,26.0,29.0
토정동,12.0,5.0,3.0,15.0
통의동,6.0,4.0,9.0,11.0
통인동,11.0,17.0,12.0,10.0
팔판동,6.0,4.0,7.0,4.0
평동,196.0,96.0,80.0,195.0
평창동,119.0,138.0,100.0,109.0
풍납동,368.0,282.0,291.0,312.0
필동1가,16.0,13.0,13.0,11.0
필동2가,48.0,38.0,33.0,52.0
필동3가,17.0,16.0,18.0,16.0
필운동,11.0,10.0,7.0,18.0
하계동,599.0,490.0,484.0,594.0
하왕십리동,238.0,204.0,227.0,258.0
하월곡동,491.0,418.0,402.0,458.0
하중동,13.0,7.0,11.0,17.0
한강로1가,66.0,45.0,56.0,57.0
한강로2가,170.0,80.0,88.0,140.0
