읍면동명,신고건수
홍제동,2841
홍지동,148
홍파동,48
화곡동,10944
화동,22
화양동,1873
황학동,946
회기동,960
회현동1가,262
회현동2가,90
회현동3가,3
효자동,36
효제동,97
효창동,449
후암동,934
훈정동,25
휘경동,1890
흑석동,1312
흥인동,304
